,"FY2022 Per Diem Rates - Effective October 1, 2021",,,,,,
ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY22 Lodging Rate,FY22 M&IE
107,FL,Tallahassee,Leon,October 1,December 31,$ 111,$ 64
107,FL,Tallahassee,Leon,January 1,March 31,$ 148,$ 64
107,FL,Tallahassee,Leon,April 1,September 30,$ 111,$ 64
108,FL,Tampa / St. Petersburg,Pinellas / Hillsborough,October 1,December 31,$ 124,$ 69
108,FL,Tampa / St. Petersburg,Pinellas / Hillsborough,January 1,April 30,$ 163,$ 69
108,FL,Tampa / St. Petersburg,Pinellas / Hillsborough,May 1,September 30,$ 124,$ 69
109,FL,Vero Beach,Indian River,October 1,November 30,$ 131,$ 69
109,FL,Vero Beach,Indian River,December 1,April 30,$ 188,$ 69
109,FL,Vero Beach,Indian River,May 1,September 30,$ 131,$ 69
110,GA,Athens,Clarke,,,$ 107,$ 59
111,GA,Atlanta,Fulton / Dekalb,,,$ 163,$ 74
413,GA,Augusta,Richmond,,,$ 107,$ 59
115,GA,Jekyll Island / Brunswick,Glynn,October 1,February 28,$ 143,$ 79
115,GA,Jekyll Island / Brunswick,Glynn,March 1,July 31,$ 190,$ 79
115,GA,Jekyll Island / Brunswick,Glynn,August 1,September 30,$ 143,$ 79
494,GA,Marietta,Cobb,,,$ 121,$ 64
116,GA,Savannah,Chatham,October 1,February 28,$ 120,$ 69
116,GA,Savannah,Chatham,March 1,April 30,$ 138,$ 69
116,GA,Savannah,Chatham,May 1,September 30,$ 120,$ 69
476,IA,Dallas,Dallas,October 1,December 31,$ 105,$ 69
476,IA,Dallas,Dallas,January 1,August 31,$ 111,$ 69
476,IA,Dallas,Dallas,September 1,September 30,$ 105,$ 69
118,IA,Des Moines,Polk,,,$ 111,$ 64
495,ID,Boise,Ada,,,$ 147,$ 74
120,ID,Coeur d'Alene,Kootenai,October 1,May 31,$ 96,$ 64
120,ID,Coeur d'Alene,Kootenai,June 1,August 31,$ 146,$ 64
120,ID,Coeur d'Alene,Kootenai,September 1,September 30,$ 96,$ 64
122,ID,Sun Valley / Ketchum,Blaine / Elmore,October 1,May 31,$ 108,$ 74
122,ID,Sun Valley / Ketchum,Blaine / Elmore,June 1,September 30,$ 138,$ 74
422,IL,Bolingbrook / Romeoville / Lemont,Will,,,$ 105,$ 64
123,IL,Chicago,Cook / Lake,October 1,November 30,$ 218,$ 79
123,IL,Chicago,Cook / Lake,December 1,March 31,$ 134,$ 79
123,IL,Chicago,Cook / Lake,April 1,June 30,$ 216,$ 79
123,IL,Chicago,Cook / Lake,July 1,August 31,$ 187,$ 79
123,IL,Chicago,Cook / Lake,September 1,September 30,$ 218,$ 79
462,IL,East St. Louis / O'Fallon / Fairview Heights,St. Clair,,,$ 141,$ 64
124,IL,Oak Brook Terrace,DuPage,,,$ 114,$ 64
127,IN,Bloomington ,Monroe,October 1,April 30,$ 96,$ 64
127,IN,Bloomington ,Monroe,May 1,August 31,$ 106,$ 64
127,IN,Bloomington ,Monroe,September 1,September 30,$ 96,$ 64
129,IN,Ft. Wayne,Allen,,,$ 108,$ 64
414,IN,Hammond / Munster / Merrillville,Lake,,,$ 102,$ 64
130,IN,Indianapolis / Carmel,Marion / Hamilton,,,$ 127,$ 69
131,IN,Lafayette / West Lafayette,Tippecanoe,October 1,July 31,$ 100,$ 64
131,IN,Lafayette / West Lafayette,Tippecanoe,August 1,September 30,$ 118,$ 64
137,KS,Kansas City / Overland Park,Wyandotte / Johnson / Leavenworth,,,$ 123,$ 64
138,KS,Wichita,Sedgwick,,,$ 103,$ 64
139,KY,Boone,Boone,,,$ 114,$ 64
436,KY,Kenton,Kenton,,,$ 151,$ 74
140,KY,Lexington,Fayette,,,$ 110,$ 64
141,KY,Louisville,Jefferson,October 1,October 31,$ 131,$ 64
141,KY,Louisville,Jefferson,November 1,January 31,$ 113,$ 64
141,KY,Louisville,Jefferson,February 1,May 31,$ 139,$ 64
141,KY,Louisville,Jefferson,June 1,September 30,$ 131,$ 64
478,LA,Alexandria / Leesville / Natchitoches,Allen / Jefferson Davis / Natchitoches / Rapides / Vernon Parishes,,,$ 99,$ 64
142,LA,Baton Rouge,East Baton Rouge Parish,,,$ 99,$ 69
144,LA,New Orleans,Orleans / Jefferson Parishes,October 1,December 31,$ 136,$ 74
144,LA,New Orleans,Orleans / Jefferson Parishes,January 1,May 31,$ 158,$ 74
144,LA,New Orleans,Orleans / Jefferson Parishes,June 1,September 30,$ 136,$ 74
147,MA,Andover,Essex,,,$ 123,$ 64
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",October 1,October 31,$ 309,$ 79
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",November 1,February 28,$ 185,$ 79
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",March 1,June 30,$ 281,$ 79
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",July 1,August 31,$ 264,$ 79
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",September 1,September 30,$ 309,$ 79
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,October 1,October 31,$ 168,$ 69
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,November 1,April 30,$ 142,$ 69
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,May 1,September 30,$ 168,$ 69
150,MA,Falmouth,City limits of Falmouth,October 1,April 30,$ 134,$ 69
150,MA,Falmouth,City limits of Falmouth,May 1,June 30,$ 171,$ 69
150,MA,Falmouth,City limits of Falmouth,July 1,August 31,$ 273,$ 69
150,MA,Falmouth,City limits of Falmouth,September 1,September 30,$ 134,$ 69
151,MA,Hyannis,Barnstable less the city of Falmouth,October 1,June 30,$ 114,$ 69
151,MA,Hyannis,Barnstable less the city of Falmouth,July 1,August 31,$ 197,$ 69
151,MA,Hyannis,Barnstable less the city of Falmouth,September 1,September 30,$ 114,$ 69
152,MA,Martha's Vineyard,Dukes,October 1,May 31,$ 158,$ 79
152,MA,Martha's Vineyard,Dukes,June 1,September 30,$ 340,$ 79
153,MA,Nantucket,Nantucket,October 1,May 31,$ 163,$ 79
153,MA,Nantucket,Nantucket,June 1,September 30,$ 354,$ 79
154,MA,Northampton,Hampshire,,,$ 122,$ 69
155,MA,Pittsfield,Berkshire,October 1,May 31,$ 118,$ 64
155,MA,Pittsfield,Berkshire,June 1,August 31,$ 154,$ 64
155,MA,Pittsfield,Berkshire,September 1,September 30,$ 118,$ 64
156,MA,Plymouth / Taunton / New Bedford,Plymouth / Bristol,,,$ 113,$ 69
157,MA,Quincy,Norfolk,,,$ 150,$ 69
158,MA,Springfield,Hampden,,,$ 115,$ 64
160,MA,Worcester,Worcester,,,$ 125,$ 69
161,MD,Aberdeen / Bel Air / Belcamp,Harford,,,$ 104,$ 64
162,MD,Annapolis,Anne Arundel,October 1,October 31,$ 133,$ 69
162,MD,Annapolis,Anne Arundel,November 1,April 30,$ 106,$ 69
162,MD,Annapolis,Anne Arundel,May 1,September 30,$ 133,$ 69
163,MD,Baltimore City,Baltimore City,October 1,February 28,$ 137,$ 69
163,MD,Baltimore City,Baltimore City,March 1,June 30,$ 151,$ 69
163,MD,Baltimore City,Baltimore City,July 1,September 30,$ 137,$ 69
429,MD,Baltimore County,Baltimore,,,$ 101,$ 64
164,MD,Cambridge / St. Michaels,Dorchester / Talbot,October 1,May 31,$ 121,$ 64
164,MD,Cambridge / St. Michaels,Dorchester / Talbot,June 1,August 31,$ 161,$ 64
164,MD,Cambridge / St. Michaels,Dorchester / Talbot,September 1,September 30,$ 121,$ 64
473,MD,Centreville,Queen Anne,,,$ 119,$ 64
165,MD,Columbia,Howard,,,$ 106,$ 69
166,MD,Frederick,Frederick,,,$ 100,$ 64
170,MD,Ocean City,Worcester,October 1,June 30,$ 106,$ 69
170,MD,Ocean City,Worcester,July 1,August 31,$ 256,$ 69
170,MD,Ocean City,Worcester,September 1,September 30,$ 106,$ 69
171,ME,Bar Harbor / Rockport,Hancock / Knox,October 1,October 31,$ 166,$ 74
171,ME,Bar Harbor / Rockport,Hancock / Knox,November 1,June 30,$ 124,$ 74
171,ME,Bar Harbor / Rockport,Hancock / Knox,July 1,August 31,$ 209,$ 74
171,ME,Bar Harbor / Rockport,Hancock / Knox,September 1,September 30,$ 166,$ 74
172,ME,Kennebunk / Kittery / Sanford,York ,October 1,October 31,$ 131,$ 69
172,ME,Kennebunk / Kittery / Sanford,York ,November 1,June 30,$ 103,$ 69
172,ME,Kennebunk / Kittery / Sanford,York ,July 1,August 31,$ 200,$ 69
172,ME,Kennebunk / Kittery / Sanford,York ,September 1,September 30,$ 131,$ 69
173,ME,Portland,Cumberland / Sagadahoc,October 1,October 31,$ 149,$ 64
173,ME,Portland,Cumberland / Sagadahoc,November 1,June 30,$ 110,$ 64
173,ME,Portland,Cumberland / Sagadahoc,July 1,August 31,$ 176,$ 64
173,ME,Portland,Cumberland / Sagadahoc,September 1,September 30,$ 149,$ 64
175,MI,Ann Arbor,Washtenaw,October 1,April 30,$ 118,$ 69
175,MI,Ann Arbor,Washtenaw,May 1,August 31,$ 134,$ 69
175,MI,Ann Arbor,Washtenaw,September 1,September 30,$ 118,$ 69
178,MI,Detroit,Wayne,,,$ 133,$ 64
179,MI,East Lansing / Lansing,Ingham / Eaton,,,$ 106,$ 64
183,MI,Grand Rapids,Kent,,,$ 114,$ 64
184,MI,Holland,Ottawa,October 1,April 30,$ 116,$ 64
184,MI,Holland,Ottawa,May 1,June 30,$ 122,$ 64
184,MI,Holland,Ottawa,July 1,September 30,$ 116,$ 64
185,MI,Kalamazoo / Battle Creek ,Kalamazoo / Calhoun,,,$ 104,$ 64
187,MI,Mackinac Island,Mackinac,October 1,June 30,$ 96,$ 74
187,MI,Mackinac Island,Mackinac,July 1,August 31,$ 134,$ 74
187,MI,Mackinac Island,Mackinac,September 1,September 30,$ 96,$ 74
188,MI,Midland,Midland,,,$ 119,$ 59
190,MI,Muskegon,Muskegon,October 1,May 31,$ 96,$ 64
190,MI,Muskegon,Muskegon,June 1,August 31,$ 126,$ 64
190,MI,Muskegon,Muskegon,September 1,September 30,$ 96,$ 64
192,MI,Petoskey,Emmet,October 1,June 30,$ 110,$ 64
192,MI,Petoskey,Emmet,July 1,August 31,$ 203,$ 64
